#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
44;J0034-0721;00:34:08.9;-07:21:49.3;110.422;-69.814;0.942951;1.060500;16.06;*;*;
45;J0036-1033;00:36:15.0;-10:33:14.2;110.033;-73.044;0.900009;1.111100;23.10;*;*;
46;J0038-2501;00:38:10.2;-25:01:30.7;67.413;-86.354;0.256926;3.892164;5.71;*;*;
47;J0039+35;00:39:06;+35:45;120.121;-27.054;0.536700;1.863238;53.04;*;*;
48;J0040+5716;00:40:32.3;+57:16:24.8;121.452;-5.567;1.118225;0.894274;92.52;*;*;
49;J0040-7326;00:40:23.7;-73:26:26.0;304.019;-43.664;0.398657;2.508425;85.70;*;EXGAL:SMC;
50;J0040-7335;00:40:54.5;-73:35:53.6;303.956;-43.509;0.145218;6.886188;198.27;*;EXGAL:SMC;
51;J0040-7337;00:40:46.7;-73:37:07.0;303.968;-43.488;0.059889;16.697679;101.79;*;EXGAL:SMC,SNR:DEM_S5[cls+24],PWN:DEM_S5[;
52;J0043-7319;00:43:13.2;-73:19:55.6;303.748;-43.783;0.937434;1.066741;120.80;*;EXGAL:SMC;
53;J0044-7314;00:44:56.9;-73:13:59.3;303.581;-43.887;0.396913;2.519441;78.60;*;EXGAL:SMC;
54;J0045-7042;00:45:25.6;-70:42:07.1;303.652;-46.418;0.632336;1.581438;71.30;*;EXGAL:SMC;
55;J0045-7319;00:45:35.1;-73:19:03.0;303.514;-43.804;0.926276;1.079592;104.60;BT;EXGAL:SMC;
56;J0048+3412;00:48:33.9;+34:12:08.0;122.255;-28.666;1.217094;0.821629;39.92;*;*;
57;J0048-7317;00:48:56.8;-73:17:46.0;303.180;-43.831;0.079314;12.608085;292.42;*;EXGAL:SMC,PWN:[cfc+24];
58;J0050+03;00:50:31;+03:48;122.485;-59.071;1.366560;0.731764;26.50;*;*;
59;J0051+0423;00:51:30.1;+04:22:49;122.962;-58.491;0.354732;2.819030;13.93;*;*;
60;J0051-7204;00:51:34.5;-72:04:23.7;302.917;-45.055;0.191447;5.223376;159.30;*;EXGAL:SMC;
61;J0054+66;00:54;+66;123.193;3.130;1.390000;0.719424;15.00;*;*;
62;J0054+6650;00:54:55.4;+66:50:23.7;123.275;3.971;1.390217;0.719312;*;*;*;
63;J0054+69;00:54:28;+69:26;123.200;6.563;*;*;90.30;*;*;
64;J0054+6946;00:54:59.1;+69:46:16.8;123.241;6.902;0.832911;1.200608;116.52;*;*;
65;J0054-7228;00:54:54.2;-72:28:33.3;302.565;-44.650;0.290945;3.437078;92.40;*;EXGAL:SMC;
66;J0055+5117;00:55:45.3;+51:17:24.6;123.621;-11.576;2.115171;0.472775;44.01;*;*;
67;J0056+4756;00:56:25.5;+47:56:10.5;123.796;-14.927;0.472037;2.118480;18.14;*;*;
