#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
557;J0947+2740;09:47:21.2;+27:40:43.5;201.142;49.384;0.851014;1.175069;29.09;*;*;
558;J0948-5549;09:48:12.2;-55:49:16.9;279.168;-1.646;0.166095;6.020636;178.00;*;*;
559;J0949-6902;09:49:20.5;-69:02:41.6;287.826;-11.702;0.640016;1.562462;93.00;*;*;
560;J0951-71;09:51:24;-71:19:01;289.469;-13.321;0.212378;4.708586;77.00;*;*;
561;J0952-0607;09:52:08.3;-06:07:23.4;243.652;35.380;0.001414;707.314446;22.41;ELL1;GRS:4FGL_J0952.1-0607[aab+22],OPT:[bph+1;
562;J0952-3839;09:52:17.1;-38:39:09.9;268.701;12.033;1.373816;0.727900;162.88;*;*;
563;J0953+0755;09:53:09.3;+07:55:36.6;228.908;43.697;0.253065;3.951547;2.94;*;*;
564;J0954-5430;09:54:06.0;-54:30:52.7;278.998;-0.101;0.472866;2.114764;201.18;*;*;
565;J0954-5754;09:54:53.5;-57:54:48.6;281.197;-2.696;0.004835;206.813547;307.35;?;*;
566;J0955-3947;09:55:27.8;-39:47:52.2;269.930;11.540;0.002023;494.382281;130.71;ELL1;GRS:4FGL_J0955.3-3949[tcb+24];
567;J0955-5304;09:55:29.4;-53:04:16.6;278.264;1.159;0.862123;1.159928;156.73;*;*;
568;J0955-6150;09:55:20.8;-61:50:16.8;283.685;-5.737;0.001999;500.159928;160.90;DD;GRS:4FGL_J0955.4-6151[aab+22];
569;J0957-0619;09:57;-06:17;244.762;36.201;1.723700;0.580147;26.95;*;*;
570;J0957-5432;09:57:56.0;-54:32:03.9;279.448;0.227;0.203557;4.912636;226.10;*;*;
571;J0959-4809;09:59:26.2;-48:09:47.5;275.742;5.418;0.670086;1.492346;92.70;*;*;
572;J1000+08;10:00:38;+08:19:58;229.732;45.498;0.440372;2.270807;21.00;*;*;
573;J1000-5149;10:00:28.1;-51:49:58.1;278.107;2.603;0.255677;3.911183;72.80;*;*;
574;J1001-5507;10:01:37.9;-55:07:06.7;280.226;0.085;1.436639;0.696069;130.27;*;*;
575;J1001-5559;10:01:08.5;-55:58:59.9;280.691;-0.648;1.661177;0.601983;157.98;*;*;
576;J1001-5603;10:01:04.9;-56:03:10.0;280.726;-0.708;0.379533;2.634817;235.30;*;*;
577;J1001-5939;10:01:32.2;-59:39:17.8;282.945;-3.548;7.733640;0.129305;113.00;*;*;
578;J1002-5559;10:02:57.9;-55:59:37;280.901;-0.503;0.777501;1.286172;426.00;*;*;
579;J1002-5919;10:02:20.5;-59:19:37.2;282.829;-3.224;0.713489;1.401563;347.00;*;*;
580;J1003+41;10:03:30;+41:03;179.832;52.973;0.880000;1.136364;30.00;*;*;
581;J1003-4747;10:03:21.5;-47:47:01.0;276.037;6.117;0.307075;3.256538;98.49;*;*;
582;J1005+30;10:05:30;+30:15;197.937;53.673;*;*;17.50;*;*;
583;J1006-6311;10:06:36.6;-63:11:41.2;285.550;-6.029;0.835797;1.196462;195.99;*;*;
584;J1010+15;10:10:00;+15:51;221.258;50.980;*;*;42.00;*;*;
585;J1012+5307;10:12:33.4;+53:07:02.2;160.347;50.858;0.005256;190.267834;9.02;T2;OPT:[cgk98];
586;J1012-2337;10:12:33.7;-23:38:22.4;262.131;26.377;2.517945;0.397149;22.51;*;*;
587;J1012-4235;10:12:12.9;-42:35:53.3;274.218;11.225;0.003101;322.461933;71.65;ELL1H+;GRS:4FGL_J1012.1-4235[aab+22];
588;J1012-5830;10:12:54.9;-58:30:25.6;283.459;-1.762;2.133591;0.468693;294.00;*;*;
589;J1012-5857;10:12:48.4;-58:57:48.5;283.707;-2.146;0.819929;1.219618;382.61;*;*;
590;J1013-5934;10:13:31.8;-59:34:26.6;284.130;-2.596;0.442901;2.257841;379.49;*;*;
591;J1014-48;10:14:18;-48:49:42;278.136;6.330;1.508800;0.662778;87.00;*;*;
592;J1015-5359;10:15:57.7;-53:59:11.9;281.262;2.212;0.020800;48.075767;30.80;?;*;
593;J1015-5719;10:15:38.0;-57:19:12.6;283.088;-0.578;0.139920;7.146916;278.10;*;*;
594;J1016-5345;10:16:31.1;-53:45:14.2;281.201;2.450;0.769586;1.299400;67.28;*;*;
595;J1016-5819;10:16:12.0;-58:19:01.0;283.708;-1.363;0.087834;11.385079;252.16;*;*;
596;J1016-5857;10:16:21.5;-58:57:08.4;284.080;-1.879;0.107433;9.308163;394.15;*;GRS:4FGL_J1016.3-5857[aab+22],SNR:G284.3;
597;J1017+3011;10:17:36.2;+30:11:46.1;198.432;56.273;0.452785;2.208553;27.10;*;*;
598;J1017-5621;10:17:12.8;-56:21:30.4;282.732;0.341;0.503463;1.986243;437.87;*;*;
599;J1017-7156;10:17:51.3;-71:56:41.5;291.558;-12.553;0.002339;427.621905;94.21;T2;*;
600;J1018-1523;10:18:12.7;-15:23:10.2;257.129;33.529;0.083153;12.026092;17.16;DD;*;
601;J1018-1642;10:18:40.3;-16:42:10.1;258.261;32.610;1.804696;0.554110;49.11;*;*;
602;J1019-5749;10:19:52.1;-57:49:06.5;283.837;-0.679;0.162513;6.153370;1040.00;*;GRS:4FGL_J1019.8-5749[aab+22];
603;J1020-5510;10:20:31.9;-55:10:07.8;282.468;1.591;0.003943;253.628279;134.80;*;*;
604;J1020-5921;10:20:14.0;-59:21:34;284.719;-1.944;1.238305;0.807555;80.00;*;*;
605;J1020-6026;10:20:11.4;-60:26:06.3;285.302;-2.848;0.140481;7.118386;446.00;*;*;
606;J1020-6158;10:20:12.2;-61:58:51.7;286.150;-4.142;0.282879;3.535085;363.00;*;*;
607;J1021-5601;10:21:24.8;-56:01:50.9;283.041;0.935;0.670026;1.492479;212.00;*;*;
608;J1022+1001;10:22:57.9;+10:01:52.9;231.794;51.101;0.016453;60.779448;10.26;DDH;*;
609;J1022-5813;10:22:28.1;-58:13:30;284.347;-0.834;1.643726;0.608374;714.00;*;*;
610;J1023+0038;10:23:47.6;+00:38:40.8;243.490;45.782;0.001688;592.421459;14.32;T2;OPT:AY_Sex[asr+09],XRS:[akb+10];
611;J1023-5746;10:23:02.9;-57:46:05;284.166;-0.407;0.111472;8.970828;*;*;GRS:4FGL_J1023.0-5745[aab+22],GRS:HESS_J;
612;J1024-0719;10:24:38.6;-07:19:19.9;251.702;40.515;0.005162;193.715683;6.49;*;GRS:4FGL_J1024.5-0719[aab+22],OPT:2MASS_;
613;J1028-5819;10:28:28.0;-58:19:05.2;285.065;-0.496;0.091403;10.940532;96.53;*;GRS:4FGL_J1028.5-5819[aab+22];
614;J1030-6008;10:30:26.1;-60:08:37.3;286.225;-1.928;0.027324;36.597245;370.80;?;*;
615;J1031-6117;10:31:02.2;-61:17:50.6;286.880;-2.881;0.306411;3.263592;506.80;*;*;
616;J1032-5206;10:32:27.6;-52:06:08.5;282.354;5.128;2.407622;0.415348;139.00;*;*;
617;J1032-5804;10:32:50.5;-58:04:34.9;285.436;0.008;0.078741;12.699862;819.00;*;*;
618;J1032-5911;10:32:04.8;-59:11:54.8;285.920;-1.010;0.464213;2.154185;418.20;*;*;
619;J1034-3224;10:34:19.5;-32:24:26.0;272.050;22.117;1.150591;0.869119;51.40;*;*;
620;J1034-5817;10:34:28.6;-58:17:57.5;285.734;-0.076;0.791480;1.263456;579.00;*;*;
621;J1034-5934;10:34:36.5;-59:34:21.8;286.386;-1.170;0.034471;29.009531;603.80;?;*;
622;J1035-6345;10:35:03.0;-63:45:18.4;288.528;-4.765;0.579577;1.725397;189.70;*;*;
623;J1035-6720;10:35:27.4;-67:20:12.6;290.371;-7.843;0.002872;348.188640;84.17;*;GRS:4FGL_J1035.4-6720[aab+22];
624;J1036-4353;10:36:30.2;-43:53:08.7;278.724;12.553;0.001680;595.199821;61.12;BTX;*;
625;J1036-4926;10:36:13.1;-49:26:21.4;281.519;7.727;0.510370;1.959364;136.44;*;*;
626;J1036-6559;10:36:20.0;-65:59:09.2;289.766;-6.630;0.533502;1.874408;158.36;*;*;
627;J1036-8317;10:36:40.5;-83:17:56.1;298.943;-21.497;0.003408;293.427230;27.09;BT;GRS:4FGL_J1036.5-8318[aab+22];
628;J1038+0032;10:38:26.9;+00:32:43.6;247.152;48.471;0.028852;34.660173;26.50;*;*;
629;J1038-5831;10:38:19.6;-58:31:26.8;286.284;-0.023;0.661993;1.510589;72.78;*;*;
630;J1039-6108;10:39:36.7;-61:08:46.2;287.700;-2.235;0.271553;3.682528;488.20;*;*;
631;J1039-6208;10:39:08.9;-62:08:18.1;288.134;-3.129;1.246563;0.802206;281.80;*;*;
632;J1041-1942;10:41:36.1;-19:42:13.3;265.591;33.590;1.386369;0.721309;33.62;*;*;
633;J1042-5521;10:42:00.5;-55:21:05.6;285.192;2.998;1.170868;0.854067;306.74;*;*;
634;J1043-6116;10:43:55.2;-61:16:50.6;288.221;-2.106;0.288609;3.464896;448.75;*;*;
635;J1044-5737;10:44:32.8;-57:37:19.3;286.574;1.163;0.139029;7.192750;*;*;GRS:4FGL_J1044.4-5737[aab+22],GRS:1AGL_J;
636;J1045-0436;10:45:57.9;-04:36:23.3;254.464;46.123;0.024048;41.584335;4.82;DD;*;
637;J1045-4509;10:45:50.1;-45:09:54.0;280.851;12.254;0.007474;133.793150;58.11;T2;*;
638;J1046+0304;10:46:43.2;+03:04:06.9;246.412;51.697;0.326271;3.064937;24.98;*;*;
639;J1046-5813;10:46:18.8;-58:13:51.7;287.065;0.733;0.369428;2.706885;240.00;*;*;
640;J1047-3032;10:47:00.8;-30:32:18.0;273.495;25.127;0.330328;3.027293;52.54;*;*;
641;J1047-6709;10:47:28.2;-67:09:51.6;291.314;-7.132;0.198453;5.038978;116.30;*;*;
642;J1048+2339;10:48:43.4;+23:39:53.4;213.172;62.139;0.004665;214.354785;16.65;BTX;GRS:4FGL_J1048.6+2340[aab+22];
643;J1048+5349;10:48:06.4;+53:49:51.9;154.756;54.996;2.730862;0.366185;27.30;*;*;
644;J1048-5832;10:48:13.1;-58:32:05.6;287.427;0.578;0.123740;8.081444;128.68;*;GRS:4FGL_J1048.2-5832[aab+22];
645;J1048-5838;10:48:12.5;-58:38:19.0;287.473;0.485;1.231305;0.812147;70.70;*;*;
646;J1049+5822;10:49:37.9;+58:22:17.1;148.656;52.241;0.727618;1.374348;12.36;*;*;
647;J1049-5833;10:49:50.3;-58:33:45.1;287.628;0.649;2.202328;0.454065;448.81;*;*;
648;J1050-5953;10:50:07.1;-59:53:21.4;288.256;-0.520;6.452077;0.154989;*;*;XRS:1E_1048.1-5937;
649;J1051-6214;10:51:36.5;-62:14:56.5;289.473;-2.550;1.146050;0.872562;246.00;*;*;
650;J1052-5954;10:52:38.1;-59:54:44.1;288.549;-0.400;0.180592;5.537359;491.90;*;*;
651;J1052-6348;10:52:53.3;-63:48:16.6;290.294;-3.881;0.383830;2.605317;167.50;*;*;
652;J1054-5943;10:54:57.7;-59:43:14.1;288.729;-0.100;0.346909;2.882601;330.70;*;*;
653;J1054-5946;10:54:30.4;-59:46:31.0;288.701;-0.174;0.228324;4.379736;253.90;*;*;
654;J1054-6452;10:54:08.8;-64:52:37.5;290.889;-4.784;1.840004;0.543477;234.00;*;*;
655;J1055-6022;10:55:48.5;-60:22:52;289.109;-0.650;0.947558;1.055344;590.00;*;*;
656;J1055-6028;10:55:39.1;-60:28:37.5;289.133;-0.745;0.099661;10.034032;636.50;*;GRS:4FGL_J1055.7-6028[aab+22];
657;J1055-6236;10:55:54.6;-62:36:48.3;290.081;-2.660;0.448635;2.228981;149.70;*;*;
658;J1055-6905;10:55:44.7;-69:05:11.4;292.879;-8.504;2.919397;0.342536;142.80;*;*;
659;J1056-5709;10:56:43.7;-57:09:34.5;287.835;2.311;0.676082;1.479111;436.50;*;*;
660;J1056-6258;10:56:25.5;-62:58:47.4;290.292;-2.966;0.422451;2.367138;320.69;*;*;
661;J1056-7117;10:56:45.9;-71:17:53.3;293.933;-10.458;0.026310;38.008828;92.90;ELL1;*;
662;J1057-4754;10:57:53.1;-47:54:57.6;284.007;10.739;0.628306;1.591581;60.00;*;*;
663;J1057-5226;10:57:59.0;-52:26:56.5;285.984;6.649;0.197116;5.073165;29.69;*;GRS:4FGL_J1057.9-5227[aab+22],XRS:[of93];
664;J1057-5851;10:57:09.5;-58:51:07;288.609;0.805;0.620365;1.611954;*;*;GRS:4FGL_J1056.9-5852[aab+22];
665;J1057-7914;10:57:27.2;-79:14:23.5;297.571;-17.574;1.347404;0.742168;51.59;*;*;
666;J1058-5957;10:58:34.2;-59:57:36.5;289.241;-0.123;0.616271;1.622663;334.00;*;*;
667;J1059+6459;10:59:27.5;+64:59:32;140.251;48.198;3.631170;0.275393;19.30;*;*;
668;J1059-5742;10:59:00.8;-57:42:14.4;288.345;1.948;1.185003;0.843880;108.56;*;*;
669;J1101-6101;11:01:44.9;-61:01:39.6;290.040;-0.932;0.062800;15.923547;*;*;SNR:G290.1-0.8(MSH_11-61A)[htg+14];
670;J1101-6424;11:01:37.1;-64:24:39.3;291.417;-4.023;0.005109;195.722565;207.36;ELL1;*;
671;J1102+02;11:02;+02;252.063;53.694;0.004050;246.913580;27.30;*;GRS:4FGL_J1102.4+0246[aab+22];
672;J1103-5403;11:03:33.2;-54:03:43.1;287.421;5.529;0.003393;294.749655;103.91;*;*;
673;J1103-6025;11:03:31.4;-60:25:36.3;289.994;-0.294;0.396587;2.521516;275.90;*;*;
674;J1104-6103;11:04:17.2;-61:03:03.8;290.331;-0.828;0.280905;3.559919;78.51;*;*;
675;J1105+02;11:05:32.0;+02:28:50;252.592;54.650;6.403055;0.156175;16.50;*;*;
676;J1105+37;11:05:00;+37:41;180.943;65.296;0.875000;1.142857;36.00;*;*;
677;J1105-4353;11:05:24.8;-43:53:05;283.486;14.947;0.351112;2.848095;45.00;*;*;
678;J1105-6037;11:05:00.4;-60:37:16.3;290.239;-0.399;0.194938;5.129829;*;*;GRS:4FGL_J1104.9-6037[aab+22],XRS:1XSPS_;
679;J1105-6107;11:05:26.2;-61:07:50.1;290.490;-0.846;0.063205;15.821653;271.36;*;GRS:4FGL_J1105.4-6108[aab+22],XRS:PWN[gk;
680;J1106-6438;11:06:28.4;-64:39:00.0;291.992;-4.031;2.717934;0.367927;203.00;*;*;
681;J1107-5907;11:07:34.4;-59:07:18.7;289.944;1.106;0.252773;3.956114;40.75;*;*;
682;J1107-5947;11:07:58.7;-59:47:04;290.249;0.515;1.516531;0.659400;158.40;*;*;
683;J1107-6143;11:07:12.3;-61:43:59;290.921;-1.316;1.799396;0.555742;406.00;*;*;
684;J1108-6329;11:08:51.3;-63:29:24.2;291.779;-2.862;0.004278;233.776862;233.20;?;*;
685;J1110+58;11:11;+58:52;144.740;53.801;0.793350;1.260478;26.20;*;*;
686;J1110-5637;11:10:00.3;-56:37:32.8;289.279;3.533;0.558255;1.791297;261.68;*;*;
687;J1111-6039;11:11:48.7;-60:39:23;291.022;-0.109;0.106689;9.373020;*;*;GRS:4FGL_J1111.8-6039[aab+22];
688;J1112-6103;11:12:14.8;-61:03:31.1;291.221;-0.462;0.064962;15.393650;595.69;*;GRS:4FGL_J1112.1-6108[aab+22],XRS:[pb15];
689;J1112-6613;11:12:38.4;-66:13:05.0;293.190;-5.233;0.334214;2.992095;248.94;*;*;
690;J1112-6926;11:12:50.8;-69:26:32.0;294.423;-8.216;0.820488;1.218787;148.67;*;*;
691;J1114-6100;11:14:22.5;-61:00:33.7;291.443;-0.321;0.880865;1.135247;680.06;*;*;
692;J1115+5030;11:15:38.4;+50:30:12.2;154.408;60.365;1.656440;0.603704;9.19;*;*;
693;J1115-0956;11:15:27.3;-09:56:53.1;267.553;46.226;1.310894;0.762838;16.10;*;*;
694;J1115-6052;11:15:53.7;-60:52:18.6;291.565;-0.126;0.259782;3.849383;227.63;*;*;
695;J1116-2444;11:16:23.2;-24:44:56.1;276.971;33.287;0.867949;1.152142;29.60;*;*;
696;J1116-4122;11:16:43.0;-41:22:44.7;284.451;18.069;0.943165;1.060259;40.53;*;*;
697;J1117-6154;11:17:23.7;-61:54:23.1;292.102;-1.028;0.505106;1.979783;493.38;*;*;
698;J1117-6447;11:17:45.0;-64:47:58;293.167;-3.719;1.155272;0.865597;303.00;*;*;
699;J1119-6127;11:19:13.6;-61:27:57.7;292.151;-0.540;0.410568;2.435648;707.40;*;GRS:4FGL_J1119.1-6127[aab+22],SNR:G292.2;
700;J1119-7936;11:19:39.9;-79:36:29.7;298.704;-17.498;2.280602;0.438481;26.32;*;*;
701;J1120-24;11:20;-24;277.486;34.314;0.497000;2.012072;9.81;*;*;
702;J1120-3618;11:20:23.3;-36:19:40.4;283.136;23.019;0.005557;179.952669;45.13;ELL1;*;
703;J1121-5444;11:21:19.1;-54:44:05.4;290.082;5.873;0.535787;1.866414;204.70;*;*;
704;J1122-3546;11:22:17.2;-35:46:31.1;283.300;23.675;0.007838;127.582438;39.59;*;*;
705;J1123-4844;11:23:15.6;-48:44:22.5;288.295;11.610;0.244839;4.084324;93.70;*;*;
706;J1123-6102;11:23:41.6;-61:02:06.3;292.509;0.049;0.640238;1.561918;439.14;*;*;
707;J1123-6259;11:23:55.5;-62:59:10.9;293.183;-1.783;0.271438;3.684081;223.26;*;*;
708;J1123-6651;11:23:52.2;-66:51:49.3;294.469;-5.442;0.232979;4.292235;111.20;*;*;
709;J1124-3653;11:24:01.1;-36:53:19.0;284.094;22.765;0.002410;415.011347;44.86;BT;GRS:4FGL_J1124.0-3653[aab+22],GRS:3FGL_J;
710;J1124-5638;11:24:56.4;-56:38:39.7;291.209;4.246;0.185560;5.389093;289.50;*;*;
711;J1124-5916;11:24:39.0;-59:16:19;292.038;1.752;0.135477;7.381335;329.20;*;GRS:4FGL_J1124.7-5915[aab+22],SNR:G292.0;
712;J1124-6421;11:24:59.5;-64:21:17;293.747;-3.036;0.479099;2.087253;298.00;*;*;
713;J1125+7819;11:25:59.8;+78:19:48.7;128.289;37.895;0.004202;238.004053;12.03;ELL1;*;
714;J1125-5825;11:25:44.3;-58:25:16.8;291.893;2.602;0.003102;322.350433;124.81;DD;GRS:4FGL_J1125.6-5825[aab+22];
715;J1125-6014;11:25:55.2;-60:14:06.8;292.504;0.894;0.002630;380.173094;52.93;T2;GRS:4FGL_J1126.4-6011[aab+22];
716;J1126-2737;11:26:02;-27:37:11;280.691;31.537;0.358161;2.792040;26.86;*;*;
717;J1126-38;11:26:18;-38:38;285.214;21.292;0.887550;1.126697;46.00;*;*;
718;J1126-6054;11:26:52.5;-60:54:39.6;292.833;0.292;0.202737;4.932494;280.32;*;*;
719;J1126-6942;11:26:21.6;-69:42:15.8;295.631;-8.048;0.579419;1.725868;55.33;*;*;
720;J1128-6219;11:28:46.7;-62:19:09;293.495;-0.972;0.515984;1.938046;675.00;*;*;
721;J1129-53;11:29:21;-53:31;290.798;7.410;1.062880;0.940840;77.00;*;*;
722;J1130+0921;11:30:55.0;+09:21:09;252.218;63.976;4.796637;0.208479;21.00;*;*;
723;J1130-5826;11:30:16.3;-58:26:02.3;292.460;2.778;0.162323;6.160538;261.10;*;*;
724;J1130-5925;11:30:10.4;-59:25:34.1;292.755;1.830;0.680984;1.468464;264.40;*;*;
725;J1130-6807;11:30:31.9;-68:07:28.4;295.484;-6.431;0.256353;3.900868;148.73;*;*;
726;J1132+25;11:32:50;+25:15;214.581;72.285;1.002000;0.998004;24.19;*;*;
727;J1132-4700;11:32:14.4;-47:00:36.3;289.177;13.736;0.325634;3.070937;123.00;*;*;
728;J1132-5627;11:32:15.7;-56:27:28.9;292.110;4.741;0.175166;5.708862;305.70;*;*;
729;J1133-6250;11:33:51.3;-62:50:50.3;294.213;-1.296;1.022876;0.977636;568.46;*;*;
730;J1134-6207;11:34:03.6;-62:07:08.2;294.020;-0.593;0.688961;1.451461;662.00;*;*;
731;J1135-49;11:35:56;-49:25:31;290.526;11.619;*;*;114.00;*;*;
732;J1135-6055;11:35:08.3;-60:55:36.4;293.794;0.584;0.114943;8.700000;*;*;GRS:4FGL_J1135.2-6055[aab+22];
733;J1136+1551;11:36:03.0;+15:51:17.4;241.893;69.197;1.187917;0.841809;4.78;*;XRS:[kpg06a];
734;J1136-5525;11:36:02.2;-55:25:06.6;292.308;5.890;0.364715;2.741870;85.11;*;*;
735;J1136-64;11:36:24;-64:40;295.012;-2.955;1.023619;0.976926;309.00;*;*;
736;J1136-6527;11:36:25.2;-65:27:19.5;295.241;-3.710;1.189309;0.840824;164.10;*;*;
737;J1137+7528;11:37:02.0;+75:28:02.3;128.999;40.772;0.002513;397.987396;29.17;ELL1;GRS:4FGL_J1137.6+7527[aab+22];
738;J1137-6700;11:37:31.9;-67:00:32.6;295.792;-5.167;0.556216;1.797862;228.04;*;*;
739;J1138-6154;11:38:20.5;-61:54:47.2;294.442;-0.252;0.624372;1.601609;456.00;*;*;
740;J1138-6207;11:38:21.6;-62:07:59.3;294.506;-0.463;0.117564;8.506020;518.86;*;*;
741;J1139-6247;11:39;-62:47;294.758;-1.067;0.120482;8.300000;*;*;GRS:4FGL_J1139.2-6247[aab+22];
742;J1141-3107;11:41:25.5;-31:07:51.9;285.746;29.393;0.538433;1.857240;30.93;*;*;
743;J1141-3322;11:41:42.7;-33:22:37.2;286.586;27.272;0.291468;3.430910;46.45;*;*;
744;J1141-6545;11:41:07.0;-65:45:19.1;295.791;-3.863;0.393899;2.538723;116.08;DD;OPT:[abw+11];
745;J1142+0119;11:42:50.1;+01:19:35.6;267.542;59.400;0.005075;197.032753;19.10;ELL1;GRS:4FGL_J1142.8+0120[aab+22];
746;J1142-6230;11:42:52.5;-62:30:03.9;295.110;-0.675;0.558383;1.790884;343.80;*;*;
747;J1143-5158;11:43:15.0;-51:58:39.8;292.383;9.492;0.675646;1.480065;159.03;*;*;
748;J1143-5536;11:43:09.7;-55:36:04.5;293.334;5.993;0.685358;1.459090;185.00;*;*;
749;J1144-6146;11:44:34.8;-61:46:49;295.116;0.073;0.987783;1.012368;78.70;*;*;
750;J1144-6217;11:44:02.1;-62:17:30.3;295.186;-0.438;0.850665;1.175551;284.70;*;*;
751;J1146-6030;11:46:07.7;-60:30:59.5;294.977;1.343;0.273375;3.657982;111.68;*;*;
752;J1146-6610;11:46:58.3;-66:10:51.3;296.479;-4.120;0.003722;268.650200;133.82;ELL1;*;
753;J1148-5725;11:48:28.5;-57:25:12.6;294.507;4.418;3.559937;0.280904;174.00;*;*;
754;J1148-6415;11:48:37.8;-64:15:33;296.177;-2.214;3.241029;0.308544;241.00;*;*;
755;J1148-6546;11:48:24.5;-65:46:25.9;296.521;-3.690;1.496743;0.668117;121.50;*;*;
756;J1151-6108;11:51:56.8;-61:08:17.6;295.814;0.909;0.101633;9.839307;217.80;*;GRS:4FGL_J1152.0-6107[aab+22];
757;J1152-5800;11:52:10.0;-58:00:34;295.126;3.961;1.789829;0.558712;191.00;*;*;
758;J1152-6012;11:52:53.8;-60:12:21;295.716;1.843;0.376570;2.655552;74.00;*;*;
759;J1152-6056;11:52:37.4;-60:56:22;295.849;1.121;2.449000;0.408330;381.00;*;*;
760;J1153-2117;11:52:58;-21:17:53;285.177;39.549;2.343480;0.426716;34.80;*;*;
761;J1154-19;11:54;-19;284.593;41.817;0.011100;90.090090;10.69;*;*;
762;J1154-6250;11:54:20.1;-62:50:02.7;296.467;-0.681;0.282012;3.545952;74.00;*;*;
763;J1155-6529;11:55:13.2;-65:29:18.5;297.140;-3.251;0.078870;12.679118;33.00;?;*;
764;J1156-1318;11:56:42;-13:18:22;283.032;47.440;*;*;28.00;*;*;
765;J1156-5707;11:56:07.4;-57:07:02.1;295.448;4.949;0.288417;3.467205;243.20;*;*;
766;J1156-5909;11:56:21.5;-59:09:12.3;295.912;2.966;1.037931;0.963455;219.20;*;*;
767;J1157-5112;11:57:08.1;-51:12:56.1;294.325;10.746;0.043589;22.941448;39.72;ELL1;*;
768;J1157-6224;11:57:15.0;-62:24:51.8;296.705;-0.200;0.400526;2.496715;324.40;*;*;
769;J1159-6409;11:59:21.6;-64:09:57.0;297.295;-1.866;0.667486;1.498160;173.50;*;*;
770;J1159-7910;11:59:35.6;-79:10:06.2;300.412;-16.551;0.525077;1.904484;59.32;*;*;
771;J1201-6306;12:01:23.0;-63:06:59.5;297.309;-0.793;0.592136;1.688801;683.00;*;*;
772;J1202-5820;12:02:28.3;-58:20:33.5;296.528;3.919;0.452803;2.208464;145.74;*;*;
773;J1203-6242;12:03;-62:42;297.411;-0.349;0.100604;9.940000;*;*;GRS:4FGL_J1203.9-6242[aab+22];
774;J1204-6843;12:04:36.6;-68:43:17.1;298.684;-6.237;0.308861;3.237702;134.11;*;*;
775;J1207-4508;12:07:19.2;-45:08:09.1;294.817;17.040;1.769828;0.565027;84.50;*;*;
776;J1207-5050;12:07:22.4;-50:50:38.6;295.861;11.422;0.004843;206.493932;50.64;*;GRS:4FGL_J1207.4-5050[brj+21];
777;J1208-5936;12:08:27.0;-59:36:20.4;297.512;2.813;0.028714;34.826387;344.43;DDH;*;
778;J1208-6238;12:08:13.9;-62:38:03.3;297.990;-0.178;0.440591;2.269680;*;*;GRS:4FGL_J1208.2-6237[aab+22];
779;J1210-5226;12:10:00.9;-52:26:28.4;296.545;9.916;0.424131;2.357764;*;*;SNR:G296.5+10.0[aaa+16d],XRS:1E_1207.4-5;
780;J1210-5559;12:10:05.9;-55:59:03.8;297.136;6.421;0.279768;3.574390;174.31;*;*;
781;J1210-6322;12:10:46.7;-63:22:20.9;298.395;-0.859;1.163186;0.859708;547.00;*;*;
782;J1210-6550;12:10:42.0;-65:50:04.6;298.774;-3.292;4.237010;0.236015;37.00;*;*;
783;J1211-6324;12:11:24.2;-63:24:44.9;298.470;-0.888;0.433084;2.309020;333.45;*;*;
784;J1212-5838;12:12:47.1;-58:38:34.8;297.910;3.851;0.073802;13.549750;145.90;*;*;
785;J1214-5830;12:14:08.4;-58:30:25.9;298.065;4.012;0.909823;1.099115;141.10;*;*;
786;J1215-5328;12:15:00.6;-53:28:31.9;297.459;9.009;0.636414;1.571304;162.51;*;*;
787;J1216-50;12:16:20;-50:27:01;297.231;12.032;6.355000;0.157356;110.00;*;*;
788;J1216-6223;12:16:41.9;-62:23:57.0;298.920;0.202;0.374053;2.673418;790.00;*;*;
789;J1216-6410;12:16:07.3;-64:10:09.1;299.096;-1.561;0.003539;282.535706;47.39;ELL1;*;
790;J1220-6318;12:20:17.8;-63:18:46.4;299.444;-0.652;0.789212;1.267087;349.75;*;*;
791;J1221-0633;12:21:24.7;-06:33:51.6;289.675;55.533;0.001935;516.918832;16.43;ELL1;GRS:4FGL_J1221.4-0634[aab+22];
792;J1222-5738;12:22:52.3;-57:38:20;299.102;5.020;1.081164;0.924929;74.00;*;*;
793;J1223-5856;12:23:40.1;-58:56:48.9;299.350;3.732;0.288541;3.465707;233.00;*;*;
794;J1224-6208;12:24:44.2;-62:08:41.1;299.818;0.565;0.585761;1.707180;454.20;*;*;
795;J1224-6407;12:24:22.2;-64:07:53.7;299.984;-1.415;0.216482;4.619330;97.73;*;XRS:[pb15];
796;J1225-5556;12:25:43.8;-55:56:43.1;299.313;6.746;1.018453;0.981881;125.83;*;*;
797;J1225-6035;12:25:28.6;-60:35:37.6;299.748;2.117;0.626324;1.596618;176.10;*;*;
798;J1225-6408;12:25:42.6;-64:08:44.7;300.131;-1.414;0.419619;2.383114;413.24;*;*;
799;J1226+0005;12:26:14.4;+00:05:44;289.280;62.298;2.285076;0.437622;18.50;*;*;
800;J1226-3223;12:26:46.6;-32:23:01;296.908;30.200;6.193004;0.161473;36.70;*;*;
