#ATNF Pulsar Catalogue
#Catalogue Version: 2.7.0
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;P1;F0;F1;DM;RM;W50;BINARY;DIST;ZZ;XX;YY;ASSOC;DISC.;PSR;NGLT;AGE;BSURF;EDOT;
;;(hms);(dms);(deg);(deg);(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(type);(kpc);(kpc);(kpc);(kpc);;DATE;TYPE;;(Yr);(G);(ergs/s);
644;J1048-5838;10:48:12.5;-58:38:19.0;287.473;0.485;1.231305;1.22e-14;0.812147;-8.043e-15;70.70;*;14.000;*;1.008;0.009;-0.961;8.197;*;2010;RRAT;*;1.60e+06;3.92e+12;2.58e+32;
645;J1049+5822;10:49:37.9;+58:22:17.1;148.656;52.241;0.727618;3.91e-15;1.374348;-7.376e-15;12.36;3.95;*;*;1.120;0.885;0.357;9.086;*;2022;*;*;2.95e+06;1.71e+12;4.00e+32;
646;J1049-5833;10:49:50.3;-58:33:45.1;287.628;0.649;2.202328;4.37e-15;0.454065;-9.018e-16;448.79;345.08;32.000;*;3.011;0.034;-2.869;7.588;*;2001;*;*;7.98e+06;3.14e+12;1.62e+31;
647;J1050-5953;10:50:07.1;-59:53:21.4;288.256;-0.520;6.452077;3.81e-11;0.154989;-9.150e-13;*;*;*;*;9.000;-0.082;-8.547;5.681;XRS:1E_1048.1-5937;1986;AXP,NRAD;2;2.68e+03;5.02e+14;5.60e+33;
648;J1051-6214;10:51:36.5;-62:14:56.5;289.473;-2.550;1.146050;*;0.872562;*;246.00;*;*;*;2.310;-0.103;-2.176;7.731;*;2023;*;*;*;*;*;
649;J1052-5954;10:52:38.1;-59:54:44.1;288.549;-0.400;0.180592;2.00e-14;5.537359;-6.127e-13;491.90;-270.00;2.300;*;3.143;-0.022;-2.980;7.500;*;2003;*;1;1.43e+05;1.92e+12;1.34e+35;
650;J1052-6348;10:52:53.3;-63:48:16.6;290.294;-3.881;0.383830;3.87e-16;2.605317;-2.630e-15;167.50;*;6.400;*;1.994;-0.135;-1.866;7.810;*;2004;*;*;1.57e+07;3.90e+11;2.71e+32;
651;J1054-5943;10:54:57.7;-59:43:14.1;288.729;-0.100;0.346909;4.07e-15;2.882601;-3.385e-14;330.70;151.00;2.400;*;2.585;-0.005;-2.448;7.670;*;2003;*;*;1.35e+06;1.20e+12;3.85e+33;
652;J1054-5946;10:54:30.4;-59:46:31.0;288.701;-0.174;0.228324;2.09e-16;4.379736;-4.009e-15;253.90;*;6.700;*;2.327;-0.007;-2.204;7.754;*;2012;*;*;1.73e+07;2.21e+11;6.93e+32;
653;J1054-6452;10:54:08.8;-64:52:37.5;290.889;-4.784;1.840004;3.14e-15;0.543477;-9.270e-16;234.00;115.00;20.000;*;2.342;-0.195;-2.180;7.668;*;2004;*;*;9.29e+06;2.43e+12;1.99e+31;
654;J1055-6022;10:55:48.5;-60:22:52;289.109;-0.650;0.947558;9.24e-14;1.055344;-1.029e-13;590.00;*;23.200;*;3.597;-0.041;-3.399;7.323;*;2004;*;*;1.62e+05;9.47e+12;4.29e+33;
655;J1055-6028;10:55:39.1;-60:28:37.5;289.133;-0.745;0.099661;2.95e-14;10.034032;-2.973e-12;636.50;343.00;3.700;*;3.830;-0.050;-3.618;7.245;GRS:4FGL_J1055.7-6028[aab+22];2009;HE;1;5.35e+04;1.74e+12;1.18e+36;
656;J1055-6236;10:55:54.6;-62:36:48.3;290.081;-2.660;0.448635;7.08e-16;2.228981;-3.518e-15;149.70;*;7.500;*;1.883;-0.087;-1.767;7.854;*;2003;*;*;1.00e+07;5.70e+11;3.10e+32;
657;J1055-6905;10:55:44.7;-69:05:11.4;292.879;-8.504;2.919397;2.03e-14;0.342536;-2.386e-15;142.80;*;43.000;*;2.035;-0.301;-1.854;7.718;*;2001;*;*;2.27e+06;7.80e+12;3.23e+31;
658;J1056-5709;10:56:43.7;-57:09:34.5;287.835;2.311;0.676082;5.76e-16;1.479111;-1.260e-15;436.50;*;20.000;*;3.062;0.123;-2.912;7.563;*;2001;*;*;1.86e+07;6.31e+11;7.36e+31;
659;J1056-6258;10:56:25.5;-62:58:47.6;290.292;-2.966;0.422451;3.58e-15;2.367138;-2.005e-14;320.68;6.97;17.000;*;2.400;-0.124;-2.248;7.669;*;1978;*;*;1.87e+06;1.24e+12;1.87e+33;
660;J1056-7117;10:56:45.9;-71:17:53.3;293.933;-10.458;0.026310;6.30e-20;38.008828;-9.100e-17;92.90;-31.30;5.000;ELL1;1.689;-0.307;-1.518;7.826;*;2014;*;*;6.62e+09;1.30e+09;1.37e+32;
661;J1057-4754;10:57:53.1;-47:54:57.6;284.007;10.739;0.628306;2.25e-16;1.591581;-5.694e-16;60.00;*;20.000;*;0.639;0.119;-0.609;8.348;*;2001;*;*;4.43e+07;3.80e+11;3.58e+31;
662;J1057-5226;10:57:59.0;-52:26:56.3;285.984;6.649;0.197116;5.84e-15;5.073165;-1.503e-13;29.68;46.32;13.000;*;0.093;0.011;-0.089;8.475;GRS:4FGL_J1057.9-5227[aab+22],XRS:[of93];1972;HE[aaa+10m];*;5.35e+05;1.09e+12;3.01e+34;
663;J1057-5851;10:57:09.5;-58:51:07;288.609;0.805;0.620365;1.01e-13;1.611954;-2.613e-13;*;*;*;*;*;0.000;-0.000;8.500;GRS:4FGL_J1056.9-5852[aab+22];2017;NRAD[aab+22];*;9.77e+04;7.99e+12;1.66e+34;
664;J1057-7914;10:57:27.2;-79:14:23.5;297.571;-17.574;1.347404;1.33e-15;0.742168;-7.324e-16;51.55;-18.35;24.000;*;1.453;-0.439;-1.228;7.859;*;1978;*;*;1.61e+07;1.35e+12;2.15e+31;
665;J1058-5957;10:58:34.2;-59:57:36.5;289.241;-0.123;0.616271;6.51e-16;1.622663;-1.713e-15;333.88;63.00;16.000;*;2.588;-0.006;-2.443;7.647;*;2003;*;*;1.50e+07;6.41e+11;1.10e+32;
666;J1059+6459;10:59:27.5;+64:59:32;140.251;48.198;3.631170;5.74e-15;0.275393;-4.350e-16;19.30;*;37.000;*;1.944;1.449;0.829;9.496;*;2014;*;*;1.00e+07;4.62e+12;4.73e+30;
667;J1059-5742;10:59:00.8;-57:42:14.5;288.345;1.948;1.185003;4.31e-15;0.843880;-3.066e-15;108.57;-57.57;17.000;*;1.643;0.056;-1.559;7.983;*;1978;*;*;4.36e+06;2.29e+12;1.02e+32;
668;J1101-6101;11:01:44.9;-61:01:39.6;290.040;-0.932;0.062800;8.56e-15;15.923547;-2.170e-12;*;*;*;*;7.000;-0.114;-6.575;6.102;SNR:G290.1-0.8(MSH_11-61A)[htg+14];2014;NRAD;*;1.16e+05;7.42e+11;1.36e+36;
669;J1101-6424;11:01:37.1;-64:24:39.3;291.417;-4.023;0.005109;1.80e-21;195.722565;-6.895e-17;207.36;-41.21;0.540;ELL1;2.175;-0.153;-2.020;7.708;*;2015;*;*;4.50e+10;9.70e+07;5.33e+32;
670;J1102+02;11:02;+02;252.063;53.694;0.004050;*;246.913580;*;27.30;*;*;*;25.000;20.147;-14.083;13.059;GRS:4FGL_J1102.4+0246[aab+22];2021;HE[aab+22];*;*;*;*;
671;J1103-5403;11:03:33.2;-54:03:43.1;287.421;5.529;0.003393;3.68e-21;294.749655;-3.200e-16;103.91;-67.70;0.140;*;1.683;0.162;-1.598;7.998;*;2011;*;*;1.46e+10;1.13e+08;3.72e+33;
672;J1103-6025;11:03:31.4;-60:25:36.3;289.994;-0.294;0.396587;9.90e-16;2.521516;-6.297e-15;275.90;569.00;4.600;*;2.379;-0.012;-2.236;7.687;*;2003;*;*;6.34e+06;6.34e+11;6.27e+32;
673;J1104-6103;11:04:17.2;-61:03:03.8;290.331;-0.828;0.280905;1.97e-15;3.559919;-2.492e-14;78.51;-8.00;4.100;*;1.327;-0.019;-1.244;8.039;*;1996;*;*;2.26e+06;7.52e+11;3.50e+33;
674;J1105+02;11:05:32.0;+02:28:50;252.592;54.650;6.403055;1.43e-15;0.156175;-3.500e-17;16.50;*;*;*;1.580;1.289;-0.872;8.773;*;2023;RRAT[dcm+23];*;7.07e+07;3.07e+12;2.16e+29;
675;J1105+37;11:05:00;+37:41;180.943;65.296;0.875000;*;1.142857;*;36.00;*;*;*;25.000;22.712;-0.172;18.947;*;2024;*;*;*;*;*;
676;J1105-4353;11:05:24.8;-43:53:05;283.486;14.947;0.351112;2.50e-15;2.848095;-2.028e-14;45.00;17.00;13.107;*;0.127;0.033;-0.119;8.471;*;2012;*;*;2.23e+06;9.48e+11;2.28e+33;
677;J1105-6037;11:05:00.4;-60:37:16.3;290.239;-0.399;0.194938;2.18e-14;5.129829;-5.746e-13;*;*;*;*;*;-0.000;-0.000;8.500;GRS:4FGL_J1104.9-6037[aab+22],XRS:1XSPS_;2017;NRAD[aab+22];*;1.41e+05;2.09e+12;1.16e+35;
678;J1105-6107;11:05:26.1;-61:07:48.9;290.489;-0.846;0.063202;1.58e-14;15.822251;-3.967e-12;271.63;194.80;3.100;*;2.360;-0.035;-2.210;7.674;GRS:4FGL_J1105.4-6108[aab+22],XRS:PWN[gk;1997;HE[aab+22];4;6.32e+04;1.01e+12;2.48e+36;
679;J1106-6438;11:06:28.4;-64:39:00.0;291.992;-4.031;2.717934;2.33e-15;0.367927;-3.150e-16;203.00;*;27.000;*;2.153;-0.151;-1.991;7.696;*;2004;*;*;1.85e+07;2.54e+12;4.58e+30;
680;J1107-5907;11:07:34.4;-59:07:18.7;289.944;1.106;0.252773;9.01e-18;3.956114;-1.410e-16;40.75;25.90;9.300;*;0.115;0.002;-0.108;8.461;*;2006;*;*;4.45e+08;4.83e+10;2.20e+31;
681;J1107-5947;11:07:58.7;-59:47:04;290.249;0.515;1.516531;3.40e-16;0.659400;-1.478e-16;158.40;-31.00;38.300;*;1.915;0.017;-1.797;7.837;*;1978;*;*;7.07e+07;7.27e+11;3.85e+30;
682;J1107-6143;11:07:12.3;-61:43:59;290.921;-1.316;1.799396;1.56e-13;0.555742;-4.812e-14;406.00;668.00;26.000;*;2.937;-0.067;-2.743;7.452;*;2003;*;*;1.83e+05;1.69e+13;1.06e+33;
683;J1108-6329;11:08:51.3;-63:29:24.2;291.779;-2.862;0.004278;*;233.776862;*;233.20;*;*;?;2.248;-0.112;-2.085;7.667;*;2023;*;*;*;*;*;
684;J1110+58;11:11;+58:52;144.740;53.801;0.793350;*;1.260478;*;26.20;*;17.000;*;25.000;20.174;8.523;20.556;*;2014;*;*;*;*;*;
685;J1110-5637;11:10:00.3;-56:37:32.5;289.279;3.533;0.558254;2.06e-15;1.791298;-6.613e-15;261.65;421.86;21.000;*;2.444;0.151;-2.303;7.695;*;1992;*;*;4.29e+06;1.09e+12;4.68e+32;
686;J1111-6039;11:11:48.7;-60:39:23;291.022;-0.109;0.106689;1.96e-13;9.373020;-1.720e-11;*;*;*;*;*;-0.000;-0.000;8.500;GRS:4FGL_J1111.8-6039[aab+22];2022;NRAD[aab+22];*;8.63e+03;4.62e+12;6.36e+36;
687;J1112-6103;11:12:14.8;-61:03:31.1;291.221;-0.462;0.064962;3.15e-14;15.393650;-7.455e-12;595.69;242.00;11.000;*;4.464;-0.036;-4.161;6.884;GRS:4FGL_J1112.1-6108[aab+22],XRS:[pb15];2001;HE[aab+22];4;3.27e+04;1.45e+12;4.53e+36;
688;J1112-6613;11:12:38.4;-66:13:04.6;293.190;-5.233;0.334214;8.23e-16;2.992095;-7.369e-15;249.09;-134.10;14.000;*;2.531;-0.231;-2.317;7.507;*;1978;*;*;6.43e+06;5.31e+11;8.70e+32;
689;J1112-6926;11:12:50.7;-69:26:32.3;294.423;-8.216;0.820488;2.82e-15;1.218787;-4.191e-15;148.67;-50.60;26.000;*;2.078;-0.297;-1.873;7.650;*;1978;*;*;4.61e+06;1.54e+12;2.02e+32;
690;J1114-6100;11:14:22.5;-61:00:33.7;291.443;-0.321;0.880865;4.60e-14;1.135247;-5.930e-14;680.26;-6730.27;32.000;*;5.505;-0.031;-5.124;6.488;*;1992;*;*;3.03e+05;6.44e+12;2.66e+33;
691;J1115+5030;11:15:38.4;+50:30:12.2;154.408;60.365;1.656440;2.49e-15;0.603704;-9.085e-16;9.19;2.63;16.600;*;0.923;0.802;0.197;8.912;*;1973;*;*;1.05e+07;2.06e+12;2.17e+31;
692;J1115-0956;11:15:27.3;-09:56:53.1;267.553;46.226;1.310894;3.47e-17;0.762838;-2.020e-17;16.10;-9.00;17.000;*;1.061;0.766;-0.733;8.531;*;2020;*;*;5.98e+08;2.16e+11;6.08e+29;
693;J1115-6052;11:15:53.7;-60:52:18.6;291.565;-0.126;0.259782;7.23e-15;3.849383;-1.071e-13;227.66;262.80;4.300;*;2.187;-0.005;-2.034;7.696;*;2001;*;*;5.69e+05;1.39e+12;1.63e+34;
694;J1116-2444;11:16:23.2;-24:44:56.1;276.971;33.287;0.867949;9.85e-16;1.152142;-1.308e-15;29.60;*;6.800;*;0.839;0.460;-0.696;8.415;*;2018;*;*;1.40e+07;9.36e+11;5.95e+31;
695;J1116-4122;11:16:43.0;-41:22:44.7;284.451;18.069;0.943165;7.97e-15;1.060259;-8.955e-15;40.56;-23.36;11.000;*;0.280;0.087;-0.258;8.434;*;1978;*;*;1.88e+06;2.77e+12;3.75e+32;
696;J1117-6154;11:17:23.7;-61:54:23.1;292.102;-1.028;0.505106;1.25e-14;1.979783;-4.901e-14;493.40;-625.20;4.900;*;3.973;-0.071;-3.680;7.005;*;2003;*;*;6.40e+05;2.54e+12;3.83e+33;
697;J1117-6447;11:17:45.0;-64:47:58;293.167;-3.719;1.155272;2.40e-16;0.865597;-1.798e-16;303.00;*;61.000;*;2.752;-0.179;-2.525;7.420;*;2003;*;*;7.63e+07;5.33e+11;6.14e+30;
698;J1119-6127;11:19:14.3;-61:27:49.5;292.151;-0.537;0.407963;4.02e-12;2.451203;-2.416e-11;704.80;850.20;26.000;*;8.400;-0.079;-7.780;5.333;GRS:4FGL_J1119.1-6127[aab+22],SNR:G292.2;2000;HE[gkc+07];6;1.61e+03;4.10e+13;2.34e+36;
699;J1119-7936;11:19:39.9;-79:36:29.7;298.704;-17.498;2.280602;3.68e-15;0.438481;-7.080e-16;26.38;-11.03;40.000;*;0.771;-0.232;-0.645;8.147;*;1978;*;*;9.81e+06;2.93e+12;1.23e+31;
700;J1120-24;11:20;-24;277.486;34.314;0.497000;*;2.012072;*;9.81;*;7.000;*;0.098;0.055;-0.080;8.489;*;2020;*;*;*;*;*;
701;J1120-3618;11:20:23.3;-36:19:40.4;283.136;23.019;0.005557;9.36e-22;179.952669;-3.030e-17;45.12;-48.00;*;DDH;0.954;0.373;-0.855;8.300;*;2013;*;*;9.41e+10;7.30e+07;2.15e+32;
702;J1121-5444;11:21:19.1;-54:44:05.4;290.082;5.873;0.535787;2.80e-15;1.866414;-9.751e-15;204.70;36.84;19.000;*;2.324;0.238;-2.171;7.706;*;1978;*;*;3.03e+06;1.24e+12;7.19e+32;
703;J1122-3546;11:22:17.2;-35:46:31.1;283.300;23.675;0.007838;1.52e-20;127.582438;-2.480e-16;39.59;*;1.000;*;0.668;0.268;-0.595;8.359;*;2020;*;*;8.15e+09;3.50e+08;1.25e+33;
704;J1123-4844;11:23:15.6;-48:44:22.5;288.295;11.610;0.244839;6.49e-17;4.084324;-1.083e-15;93.72;-11.83;2.600;*;1.870;0.376;-1.739;7.925;*;1998;*;*;5.98e+07;1.28e+11;1.75e+32;
705;J1123-6102;11:23:41.6;-61:02:06.3;292.509;0.049;0.640238;6.45e-15;1.561918;-1.573e-14;439.11;245.90;8.700;*;3.484;0.003;-3.219;7.166;*;2001;*;*;1.57e+06;2.06e+12;9.70e+32;
706;J1123-6259;11:23:55.5;-62:59:10.9;293.183;-1.783;0.271438;5.25e-15;3.684081;-7.129e-14;223.26;55.00;6.400;*;2.187;-0.068;-2.009;7.639;*;1998;*;1;8.19e+05;1.21e+12;1.04e+34;
707;J1123-6651;11:23:52.2;-66:51:49.0;294.469;-5.442;0.232979;2.75e-15;4.292235;-5.060e-14;111.20;-69.70;16.000;*;1.675;-0.159;-1.518;7.809;*;1998;*;*;1.34e+06;8.09e+11;8.57e+33;
708;J1124-3653;11:24:01.1;-36:53:19.0;284.094;22.765;0.002410;6.01e-21;415.011347;-1.035e-15;44.86;*;*;ELL1;0.987;0.382;-0.883;8.278;GRS:4FGL_J1124.0-3653[aab+22],GRS:3FGL_J;2011;HE,HE[bbc+24];*;6.35e+09;1.22e+08;1.70e+34;
709;J1124-5638;11:24:56.4;-56:38:39.7;291.209;4.246;0.185560;9.00e-18;5.389093;-2.614e-16;289.50;*;14.000;*;2.639;0.195;-2.454;7.548;*;2003;*;*;3.27e+08;4.14e+10;5.56e+31;
710;J1124-5916;11:24:39.0;-59:16:19;292.038;1.752;0.135477;7.53e-13;7.381335;-4.100e-11;329.20;164.00;10.000;*;5.000;0.153;-4.633;6.625;GRS:4FGL_J1124.7-5915[aab+22],SNR:G292.0;2002;HE[hsp+03];1;2.85e+03;1.02e+13;1.19e+37;
711;J1124-6421;11:24:59.5;-64:21:17;293.747;-3.036;0.479099;6.20e-16;2.087253;-2.701e-15;298.00;-1102.00;14.000;*;2.702;-0.143;-2.470;7.413;*;2003;*;*;1.22e+07;5.52e+11;2.23e+32;
712;J1125+7819;11:25:59.8;+78:19:48.7;128.289;37.895;0.004202;6.94e-21;238.004053;-3.933e-16;12.03;-28.40;0.430;ELL1;0.903;0.555;0.559;8.942;*;2014;*;*;9.59e+09;1.73e+08;3.70e+33;
713;J1125-5825;11:25:44.3;-58:25:16.8;291.893;2.602;0.003102;6.09e-20;322.350433;-6.328e-15;124.81;-5.50;0.310;DD;1.744;0.079;-1.617;7.850;GRS:4FGL_J1125.6-5825[aab+22];2010;HE;*;8.07e+08;4.40e+08;8.05e+34;
714;J1125-6014;11:25:55.2;-60:14:06.8;292.504;0.894;0.002630;3.73e-21;380.173094;-5.393e-16;52.93;8.45;0.210;T2;0.988;0.015;-0.913;8.122;GRS:4FGL_J1126.4-6011[aab+22];2004;HE[sbc+19];*;1.12e+10;1.00e+08;8.09e+33;
715;J1126-2737;11:26:02;-27:37:11;280.691;31.537;0.358161;*;2.792040;*;26.86;*;9.000;*;0.436;0.228;-0.365;8.431;*;2015;RRAT[kkl+15];*;*;*;*;
716;J1126-38;11:26:18;-38:38;285.214;21.292;0.887550;*;1.126697;*;46.00;-46.00;31.000;*;1.013;0.368;-0.911;8.252;*;2018;*;*;*;*;*;
717;J1126-6054;11:26:52.5;-60:54:39.6;292.833;0.292;0.202737;2.82e-16;4.932494;-6.856e-15;280.33;2.50;4.200;*;2.426;0.012;-2.236;7.559;*;1992;*;*;1.14e+07;2.42e+11;1.33e+33;
718;J1126-6942;11:26:21.6;-69:42:15.8;295.631;-8.048;0.579419;3.29e-15;1.725868;-9.811e-15;55.33;-31.00;11.000;*;1.185;-0.166;-1.058;7.992;*;1998;*;*;2.79e+06;1.40e+12;6.68e+32;
719;J1128-6219;11:28:46.7;-62:19:09;293.495;-0.972;0.515984;1.10e-17;1.938046;-4.132e-17;675.00;*;93.000;*;7.400;-0.125;-6.786;5.550;*;2003;*;*;7.43e+08;7.62e+10;3.16e+30;
720;J1129-53;11:29:21;-53:31;290.798;7.410;1.062880;*;0.940840;*;77.00;*;*;*;1.457;0.188;-1.351;7.987;*;2010;RRAT;*;*;*;*;
721;J1130+0921;11:30:55.0;+09:21:09;252.218;63.976;4.796637;-2.76e-15;0.208479;1.200e-16;21.00;*;*;*;3.386;3.043;-1.415;8.954;*;2023;RRAT[dcm+23];*;*;*;*;
722;J1130-5826;11:30:16.3;-58:26:02.3;292.460;2.778;0.162323;1.59e-17;6.160538;-6.031e-16;261.10;*;2.700;*;2.408;0.117;-2.223;7.581;*;2003;*;*;1.62e+08;5.14e+10;1.47e+32;
723;J1130-5925;11:30:10.4;-59:25:34.1;292.755;1.830;0.680984;9.52e-16;1.468464;-2.052e-15;264.40;*;15.000;*;2.387;0.076;-2.200;7.577;*;2001;*;*;1.13e+07;8.15e+11;1.19e+32;
724;J1130-6807;11:30:31.9;-68:07:28.5;295.484;-6.431;0.256353;4.61e-16;3.900868;-7.008e-15;148.73;-144.80;33.000;*;1.972;-0.221;-1.769;7.657;*;1998;*;*;8.82e+06;3.48e+11;1.08e+33;
725;J1132+25;11:32:50;+25:15;214.581;72.285;1.002000;*;0.998004;*;24.19;-3.00;16.200;*;25.000;23.815;-4.318;14.763;*;2018;RRAT(?)[ttm18];*;*;*;*;
726;J1132-4700;11:32:14.4;-47:00:36.3;289.177;13.736;0.325634;7.76e-16;3.070937;-7.320e-15;122.94;-68.10;18.000;*;2.688;0.638;-2.466;7.642;*;2012;*;*;6.65e+06;5.09e+11;8.87e+32;
727;J1132-5627;11:32:15.7;-56:27:28.9;292.110;4.741;0.175166;6.80e-17;5.708862;-2.216e-15;305.70;*;2.100;*;2.911;0.241;-2.688;7.408;*;2003;*;*;4.08e+07;1.10e+11;4.99e+32;
728;J1133-6250;11:33:51.3;-62:50:50.3;294.213;-1.296;1.022876;4.65e-16;0.977636;-4.440e-16;568.48;850.35;263.000;*;7.452;-0.169;-6.795;5.445;*;1992;*;*;3.49e+07;6.98e+11;1.71e+31;
729;J1134-6207;11:34:03.6;-62:07:08.2;294.020;-0.593;0.688961;*;1.451461;*;662.00;*;*;*;7.653;-0.079;-6.990;5.385;*;2023;*;*;*;*;*;
730;J1135-49;11:35:56;-49:25:31;290.526;11.619;*;*;*;*;114.00;*;9.000;*;2.129;0.429;-1.953;7.769;*;2011;RRAT;*;*;*;*;
731;J1135-6055;11:35:08.3;-60:55:36.4;293.794;0.584;0.114943;7.93e-14;8.700000;-6.000e-12;*;*;*;*;*;0.000;-0.000;8.500;GRS:4FGL_J1135.2-6055[aab+22];2011;NRAD[aab+22];*;2.30e+04;3.05e+12;2.06e+36;
732;J1136+1551;11:36:03.1;+15:51:14.1;241.895;69.196;1.187917;3.73e-15;0.841809;-2.646e-15;4.84;3.45;5.800;*;0.370;0.346;-0.116;8.562;XRS:[kpg06a];1968;*;*;5.04e+06;2.13e+12;8.79e+31;
733;J1136-5525;11:36:02.2;-55:25:06.6;292.308;5.890;0.364715;8.23e-15;2.741870;-6.185e-14;85.11;31.23;14.000;*;1.518;0.156;-1.397;7.927;*;1978;*;*;7.02e+05;1.75e+12;6.69e+33;
734;J1136-64;11:36:24;-64:40;295.012;-2.955;1.023619;*;0.976926;*;309.00;*;18.100;*;3.151;-0.162;-2.852;7.170;*;2024;*;*;*;*;*;
735;J1136-6527;11:36:25.2;-65:27:19.5;295.241;-3.710;1.189309;1.75e-15;0.840824;-1.237e-15;164.10;*;19.600;*;1.955;-0.127;-1.765;7.668;*;2020;*;*;1.08e+07;1.46e+12;4.11e+31;
736;J1137+7528;11:37:02.0;+75:28:02.3;128.999;40.772;0.002513;3.24e-21;397.987396;-5.132e-16;29.17;*;*;ELL1;3.833;2.503;2.256;10.327;GRS:4FGL_J1137.6+7527[aab+22];2016;HE;*;1.23e+10;9.13e+07;8.06e+33;
737;J1137-6700;11:37:32.0;-67:00:33.0;295.793;-5.167;0.556216;6.98e-17;1.797862;-2.256e-16;228.04;-32.40;87.000;*;2.603;-0.234;-2.334;7.372;*;1998;*;*;1.26e+08;1.99e+11;1.60e+31;
738;J1138-6154;11:38:20.5;-61:54:47.2;294.442;-0.252;0.624372;*;1.601609;*;456.00;*;*;*;6.147;-0.027;-5.596;5.957;*;2023;*;*;*;*;*;
739;J1138-6207;11:38:21.6;-62:07:59.3;294.506;-0.463;0.117564;1.25e-14;8.506020;-9.028e-13;518.86;594.00;9.200;*;7.183;-0.058;-6.536;5.521;*;2001;*;*;1.49e+05;1.23e+12;3.03e+35;
740;J1139-6247;11:39;-62:47;294.758;-1.067;0.120482;4.05e-15;8.300000;-2.790e-13;*;*;*;*;*;-0.000;-0.000;8.500;GRS:4FGL_J1139.2-6247[aab+22];2020;NRAD[nie+20];*;4.71e+05;7.07e+11;9.14e+34;
741;J1141-3107;11:41:25.5;-31:07:51.9;285.746;29.393;0.538433;2.02e-15;1.857240;-6.957e-15;30.97;-25.30;20.000;*;0.795;0.390;-0.667;8.312;*;1996;*;*;4.23e+06;1.05e+12;5.10e+32;
742;J1141-3322;11:41:42.7;-33:22:37.2;286.586;27.272;0.291468;4.65e-16;3.430910;-5.477e-15;46.37;-33.23;5.400;*;1.853;0.849;-1.578;8.030;*;1998;*;1;9.92e+06;3.73e+11;7.42e+32;
743;J1141-6545;11:41:07.0;-65:45:19.1;295.791;-3.863;0.393899;4.31e-15;2.538723;-2.776e-14;116.08;-93.00;7.700;DD;10.000;-0.674;-8.983;4.159;OPT:[abw+11];2000;*;1;1.45e+06;1.32e+12;2.78e+33;
744;J1142+0119;11:42:50.1;+01:19:35.6;267.542;59.400;0.005075;1.50e-20;197.032753;-5.819e-16;19.20;0.31;0.300;ELL1;2.145;1.846;-1.091;8.547;GRS:4FGL_J1142.8+0120[aab+22];2016;HE;*;5.36e+09;2.79e+08;4.53e+33;
745;J1142-6230;11:42:52.5;-62:30:03.9;295.110;-0.675;0.558383;7.79e-17;1.790884;-2.500e-16;343.80;*;30.000;*;3.483;-0.041;-3.154;7.022;*;2001;*;*;1.13e+08;2.11e+11;1.77e+31;
746;J1143-5158;11:43:15.0;-51:58:39.8;292.383;9.492;0.675646;6.95e-16;1.480065;-1.523e-15;159.03;*;6.600;*;2.397;0.395;-2.186;7.600;*;1996;*;*;1.54e+07;6.94e+11;8.90e+31;
747;J1143-5536;11:43:09.7;-55:36:04.5;293.334;5.993;0.685358;4.85e-16;1.459090;-1.033e-15;185.00;*;13.000;*;2.220;0.232;-2.027;7.625;*;2012;*;*;2.24e+07;5.83e+11;5.95e+31;
748;J1144-6146;11:44:34.8;-61:46:49;295.116;0.073;0.987783;-3.81e-17;1.012368;3.900e-17;78.70;*;33.000;*;1.395;0.002;-1.263;7.908;*;2001;*;*;*;*;*;
749;J1144-6217;11:44:02.1;-62:17:30.3;295.186;-0.438;0.850665;3.08e-14;1.175551;-4.261e-14;284.70;*;7.500;*;2.644;-0.020;-2.393;7.375;*;2001;*;*;4.37e+05;5.18e+12;1.98e+33;
750;J1146-6030;11:46:07.7;-60:30:59.6;294.977;1.343;0.273375;1.79e-15;3.657986;-2.393e-14;111.66;4.06;11.000;*;1.634;0.038;-1.481;7.810;*;1978;*;*;2.42e+06;7.08e+11;3.46e+33;
751;J1146-6610;11:46:58.3;-66:10:51.3;296.479;-4.120;0.003722;7.93e-21;268.650200;-5.723e-16;133.82;*;0.790;ELL1;1.793;-0.129;-1.601;7.703;*;2012;*;*;7.44e+09;1.74e+08;6.07e+33;
752;J1148-5725;11:48:28.5;-57:25:12.6;294.507;4.418;3.559937;1.11e-14;0.280904;-8.760e-16;174.00;*;42.000;*;2.063;0.159;-1.872;7.647;*;2006;*;*;5.08e+06;6.36e+12;9.71e+30;
753;J1148-6415;11:48:37.8;-64:15:33;296.177;-2.214;3.241029;2.70e-15;0.308544;-2.570e-16;241.00;*;37.000;*;2.454;-0.095;-2.201;7.418;*;2003;*;*;1.90e+07;2.99e+12;3.13e+30;
754;J1148-6546;11:48:24.5;-65:46:25.9;296.521;-3.690;1.496743;*;0.668117;*;121.50;*;*;*;1.707;-0.110;-1.524;7.739;*;2023;*;*;*;*;*;
755;J1151-6108;11:51:56.8;-61:08:17.6;295.814;0.909;0.101633;1.03e-14;9.839307;-9.951e-13;217.80;183.10;6.900;*;2.227;0.035;-2.005;7.530;GRS:4FGL_J1152.0-6107[aab+22];2015;HE[ncb+15],HE[aab+22];*;1.57e+05;1.03e+12;3.87e+35;
