#ATNF Pulsar Catalogue
#Catalogue Version: 2.7.0
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;P1;F0;F1;DM;RM;W50;BINARY;DIST;ZZ;XX;YY;ASSOC;DISC.;PSR;NGLT;AGE;BSURF;EDOT;
;;(hms);(dms);(deg);(deg);(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(type);(kpc);(kpc);(kpc);(kpc);;DATE;TYPE;;(Yr);(G);(ergs/s);
22;J0024-7204Q;00:24:16.4;-72:04:25.1;305.877;-44.899;0.004033;3.40e-20;247.943237;-2.091e-15;24.28;25.20;*;ELL1;4.520;-3.190;-2.594;6.624;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[rvh+1;2000;*;*;1.88e+09;3.75e+08;2.05e+34;
23;J0024-7204R;00:24:07.5;-72:04:50.3;305.892;-44.890;0.003480;1.48e-19;287.318119;-1.225e-14;24.36;25.70;*;ELL1;4.520;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];2000;*;*;3.72e+08;7.27e+08;1.39e+35;
24;J0024-7204S;00:24:03.9;-72:04:42.3;305.898;-44.892;0.002830;-1.21e-19;353.306209;1.505e-14;24.38;25.80;*;ELL1;4.520;-3.190;-2.594;6.622;GC:47Tuc(NGC104),XRS:[bhc+17],OPT:[rvh+1;2000;*;*;*;*;*;
25;J0024-7204T;00:24:08.5;-72:04:38.9;305.890;-44.894;0.007588;2.94e-19;131.778699;-5.102e-15;24.42;26.00;*;ELL1;4.520;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+1;2000;*;*;4.09e+08;1.51e+09;2.65e+34;
26;J0024-7204U;00:24:09.8;-72:03:59.6;305.890;-44.905;0.004343;9.52e-20;230.264772;-5.049e-15;24.34;26.26;*;ELL1;4.520;-3.191;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+1;2000;*;*;7.23e+08;6.51e+08;4.59e+34;
27;J0024-7204V;00:24:05.6;-72:04:52.6;305.895;-44.889;0.004810;*;207.892963;*;24.11;*;*;BTX;4.520;-3.190;-2.594;6.623;GC:47Tuc(NGC104);2000;*;*;*;*;*;
28;J0024-7204W;00:24:06.0;-72:04:49.0;305.894;-44.890;0.002352;-8.66e-20;425.107796;1.564e-14;24.37;26.00;*;BTX;4.520;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];2000;*;*;*;*;*;
29;J0024-7204X;00:24:22.3;-72:01:17.4;305.877;-44.952;0.004772;1.84e-20;209.576695;-8.065e-16;24.54;26.40;*;ELL1;4.520;-3.193;-2.592;6.625;GC:47Tuc(NGC104);2008;*;*;4.12e+09;3.00e+08;6.67e+33;
30;J0024-7204Y;00:24:01.4;-72:04:41.8;305.903;-44.891;0.002197;-3.52e-20;455.237178;7.289e-15;24.48;26.00;*;ELL1;4.520;-3.190;-2.594;6.622;GC:47Tuc(NGC104),OPT:[cpf+15];2017;*;*;*;*;*;
31;J0024-7204Z;00:24:06.0;-72:05:01.4;305.894;-44.887;0.004554;-4.54e-21;219.565606;2.190e-16;24.45;*;*;*;4.520;-3.190;-2.594;6.622;GC:47Tuc(NGC104),XRS:[bhc+17];2017;*;*;*;*;*;
32;J0024-7204aa;00:24:05.6;-72:04:52.6;305.895;-44.889;0.001840;*;543.478261;*;24.92;28.90;*;*;4.520;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bhc+17];2016;*;*;*;*;*;
33;J0024-7204ab;00:24:08.1;-72:04:47.6;305.891;-44.891;0.003705;9.82e-21;269.931798;-7.155e-16;24.33;26.40;*;*;4.520;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bhc+17];2016;*;*;5.98e+09;1.93e+08;7.62e+33;
34;J0024-7204ac;00:24:05.6;-72:04:52.6;305.895;-44.889;0.002740;*;364.963504;*;24.46;*;*;BT;4.520;-3.190;-2.594;6.623;GC:47Tuc(NGC104);2021;*;*;*;*;*;
35;J0024-7204ad;00:24:05.6;-72:04:52.6;305.895;-44.889;0.003740;*;267.379679;*;24.41;*;*;BT;4.520;-3.190;-2.594;6.623;GC:47Tuc(NGC104);2021;*;*;*;*;*;
36;J0026+6320;00:26:50.5;+63:20:00.8;120.176;0.593;0.318358;1.51e-16;3.141120;-1.486e-15;245.06;-294.00;8.100;*;6.619;0.069;5.722;11.827;*;2009;*;*;3.35e+07;2.22e+11;1.84e+32;
37;J0026-1955;00:26:36;-19:55:59;83.291;-80.829;1.306150;*;0.765609;*;20.87;*;85.000;*;25.000;-24.680;3.957;8.034;*;2020;*;*;*;*;*;
38;J0030+0451;00:30:27.4;+04:51:39.7;113.141;-57.611;0.004865;1.02e-20;205.530696;-4.298e-16;4.33;1.17;*;*;0.329;-0.278;0.162;8.569;GRS:4FGL_J0030.4+0451[aab+22];2000;HE[btlb00],HE[aaa+09e];*;7.58e+09;2.25e+08;3.49e+33;
39;J0032+6946;00:34;+69:43;121.411;6.896;0.036804;*;27.170871;*;80.01;*;1.200;*;2.283;0.274;1.934;9.681;*;2014;*;*;*;*;*;
40;J0033+57;00:33;+57;120.410;-5.781;0.315000;*;3.174603;*;75.65;*;8.600;*;2.251;-0.227;1.931;9.634;*;2008;*;*;*;*;*;
41;J0033+61;00:33;+61;120.698;-1.792;0.912000;*;1.096491;*;37.70;*;16.000;*;1.654;-0.052;1.422;9.344;*;2008;*;*;*;*;*;
42;J0034-0534;00:34:21.8;-05:34:36.7;111.492;-68.069;0.001877;4.97e-21;532.713430;-1.409e-15;13.77;9.20;0.650;ELL1;1.349;-1.251;0.469;8.685;GRS:4FGL_J0034.3-0534[aab+22];1994;HE[aaa+10b];*;5.99e+09;9.77e+07;2.96e+34;
43;J0034-0721;00:34:08.8;-07:21:53.4;110.420;-69.815;0.942951;4.08e-16;1.060500;-4.591e-16;10.92;9.89;53.000;*;1.030;-0.967;0.333;8.624;*;1969;*;*;3.66e+07;6.28e+11;1.92e+31;
44;J0036-1033;00:36:15.0;-10:33:14.2;110.033;-73.044;0.900009;2.13e-16;1.111100;-2.631e-16;23.10;-8.10;15.000;*;25.000;-23.913;6.850;10.998;*;2021;*;*;6.69e+07;4.43e+11;1.15e+31;
45;J0038-2501;00:38:10.2;-25:01:30.7;67.413;-86.354;0.256926;7.60e-19;3.892164;-1.151e-17;5.71;*;14.000;*;0.604;-0.603;0.035;8.485;*;2019;*;*;5.36e+09;1.41e+10;1.77e+30;
46;J0039+35;00:39:06;+35:45;120.121;-27.054;0.536700;*;1.863238;*;53.04;*;8.700;*;25.000;-11.371;19.258;19.673;*;2019;*;*;*;*;*;
47;J0040+5716;00:40:32.3;+57:16:24.8;121.452;-5.567;1.118225;2.88e-15;0.894274;-2.302e-15;92.52;15.30;12.200;*;2.420;-0.235;2.055;9.757;*;1985;*;*;6.15e+06;1.82e+12;8.13e+31;
48;J0040-7326;00:40:23.7;-73:26:26.0;304.019;-43.664;0.398657;5.61e-15;2.508425;-3.527e-14;85.70;*;24.200;*;58.216;-40.194;-34.906;-15.061;EXGAL:SMC;2024;*;*;1.13e+06;1.51e+12;3.49e+33;
49;J0040-7335;00:40:54.5;-73:35:53.6;303.956;-43.509;0.145218;2.39e-14;6.886188;-1.131e-12;198.27;*;2.000;*;61.176;-42.118;-36.802;-16.283;EXGAL:SMC;2024;*;1;9.65e+04;1.88e+12;3.07e+35;
50;J0040-7337;00:40:46.7;-73:37:07.3;303.968;-43.488;0.059889;3.40e-14;16.697679;-9.491e-12;101.79;*;0.870;*;58.717;-40.409;-35.331;-15.302;EXGAL:SMC,SNR:DEM_S5[cls+24],PWN:DEM_S5[;2024;*;1;2.79e+04;1.44e+12;6.26e+36;
51;J0043-7319;00:43:13.2;-73:19:55.6;303.748;-43.783;0.937434;9.33e-15;1.066741;-1.062e-14;120.80;*;20.900;*;59.103;-40.895;-35.480;-15.205;EXGAL:SMC;2019;*;*;1.59e+06;2.99e+12;4.47e+32;
52;J0044-7314;00:44:56.9;-73:13:59.3;303.581;-43.887;0.396913;1.76e-15;2.519441;-1.118e-14;78.60;*;23.000;*;57.955;-40.177;-34.798;-14.603;EXGAL:SMC;2024;*;*;3.57e+06;8.46e+11;1.11e+33;
53;J0045-7042;00:45:25.6;-70:42:07.1;303.652;-46.418;0.632336;2.49e-15;1.581438;-6.227e-15;71.30;31.00;20.000;*;59.700;-43.246;-34.260;-14.307;EXGAL:SMC;2006;*;*;4.02e+06;1.27e+12;3.89e+32;
54;J0045-7319;00:45:35.1;-73:19:03.0;303.514;-43.804;0.926276;4.46e-15;1.079592;-5.202e-15;104.60;-25.00;20.000;BT;59.700;-41.324;-35.923;-15.289;EXGAL:SMC;1991;*;*;3.29e+06;2.06e+12;2.22e+32;
55;J0048+3412;00:48:33.9;+34:12:08.0;122.255;-28.666;1.217094;2.35e-15;0.821629;-1.589e-15;39.92;-83.30;18.400;*;4.500;-2.159;3.339;10.607;*;1985;*;*;8.19e+06;1.71e+12;5.16e+31;
56;J0048-7317;00:48:56.8;-73:17:46.0;303.180;-43.831;0.079314;3.30e-14;12.608085;-5.249e-12;292.42;*;2.100;*;100.000;-69.253;-60.377;-30.979;EXGAL:SMC,PWN:[cfc+24];2024;*;1;3.81e+04;1.64e+12;2.61e+36;
57;J0050+03;00:50:31;+03:48;122.485;-59.071;1.366560;*;0.731764;*;26.50;-26.00;38.000;*;25.000;-21.445;10.839;15.401;*;2016;*;*;*;*;*;
58;J0051+0423;00:51:30.1;+04:22:49;122.962;-58.491;0.354732;7.00e-18;2.819031;-5.563e-17;13.93;-4.90;11.800;*;1.250;-1.066;0.548;8.855;*;1997;*;*;8.03e+08;5.04e+10;6.19e+30;
59;J0051-7204;00:51:34.5;-72:04:23.7;302.917;-45.055;0.191447;1.38e-14;5.223376;-3.773e-13;159.30;*;6.500;*;60.252;-42.645;-35.730;-14.630;EXGAL:SMC;2019;*;*;2.19e+05;1.65e+12;7.78e+34;
60;J0054+66;00:54;+66;123.193;3.130;1.390000;*;0.719424;*;15.00;*;*;*;0.901;0.049;0.753;8.993;*;2008;RRAT;*;*;*;*;
61;J0054+6650;00:54:55.4;+66:50:23.7;123.275;3.971;1.390217;5.55e-15;0.719312;-2.872e-15;14.60;*;*;*;0.880;0.061;0.734;8.982;*;2024;*;*;3.97e+06;2.81e+12;8.16e+31;
62;J0054+69;00:54:28;+69:26;123.200;6.563;*;*;*;*;90.30;*;*;*;2.347;0.268;1.951;9.777;*;2015;RRAT[kkl+15];*;*;*;*;
63;J0054+6946;00:54:59.1;+69:46:16.8;123.241;6.902;0.832911;7.19e-16;1.200608;-1.037e-15;116.52;*;14.000;*;2.757;0.331;2.289;10.000;*;2014;*;*;1.83e+07;7.83e+11;4.92e+31;
